poi_id,poi_type,poi_name,latitude,longitude,radius_meters
1,MALL,12 mesyaczev [RUS-Russia],55.6822,37.8681,2500
2,MALL,Ashan [RUS-Russia],55.9130,37.5730,2500
3,MALL,Ashan [RUS-Russia],55.8974,37.6662,2500
4,MALL,Franczuzkij Bulbvar [RUS-Russia],59.8510,30.2683,2500
5,MALL,Gipermarket LINIYa [RUS-Russia],51.6869,39.2571,2500
6,MALL,Ikeya [RUS-Russia],59.8868,30.4979,2500
7,MALL,Karusel' [RUS-Russia],59.9126,30.44987,2500
8,MALL,Karusel' [RUS-Russia],59.9865,30.2173,2500
9,MALL,Lenta [RUS-Russia],59.8502,30.39872,2500
10,MALL,Lenta [RUS-Russia],59.9850,30.22629,2500
11,MALL,Lenta [RUS-Russia],60.0466,30.31512,2500
12,MALL,Lenta. [RUS-Russia],59.9460,30.43465,2500
13,MALL,MEGA [RUS-Russia],60.0910,30.37273,2500
14,MALL,Mega [RUS-Russia],55.6033,37.4921,2500
15,MALL,Metro Cash & Carry [RUS-Russia],55.8760,37.4478,2500
16,MALL,Metro Cash & Carry [RUS-Russia],55.6554,37.9070,2500
17,MALL,Mosmart [RUS-Russia],55.9012,37.5477,2500
18,MALL,OKej [RUS-Russia],60.0567,30.3089,2500
19,MALL,OKej [RUS-Russia],60.0378,30.3212,2500
20,MALL,Okej [RUS-Russia],59.9310,30.4305,2500
21,MALL,Pamstor Siti [RUS-Russia],55.8803,37.4495,2500
22,MALL,Putilovskij Rinok [RUS-Russia],59.8529,30.2847,2500
23,MALL,Real [RUS-Russia],55.6688231,37.86584,2500
24,MALL,Santa-Hauz [RUS-Russia],59.8556063,30.22465,2500
25,MALL,TCz Iyun' [RUS-Russia],59.945984,30.47488,2500
26,MALL,TCz Rossiya [RUS-Russia],51.6666272,39.19182,2500
27,MALL,TCz Solnechnij raj [RUS-Russia],51.6554769,39.18839,2500
28,MALL,TD Perovskij [RUS-Russia],55.7527799,37.81936,2500
29,Grocery Store,SPAR улица Ленина 52 [Светлогорск],54.9419528,20.13665,50028
30,Grocery Store,SPAR ул. Печатная 21б [Калининград],54.6725011,20.47965,500
31,Grocery Store,SPAR ул. Железнодорожная 40 [Зеленоградский район],54.9498972,20.47139,500
32,Grocery Store,SPAR улица Левитана 22 [Калининград],54.6753508,20.5795299,500
33,Grocery Store,SPAR Калининградский пр. 2A [Светлогорск],54.9258408,20.17291,500
34,Grocery Store,SPAR ул. Литовский вал 2 [Калининград],54.7208082,20.52587,500
35,Grocery Store,SPAR ул. Панина 2A [Калининград],54.7475909,20.49932,500
36,Grocery Store,SPAR Пражский бульвар 1Ж [Гурьевский район],54.7621199,20.60608,500
37,Grocery Store,SPAR Московский проспект 135 [Калининград],54.7100952,20.53254,500
38,Grocery Store,SPAR ул. Подполковника Емельянова 285 [Калининград],54.6755106,20.62339,500
39,Grocery Store,SPAR улица Карла Маркса 18 [Калининград],54.7292236,20.48085,500
40,Grocery Store,SPAR Елизаветинская улица 11 [Калининград],54.7468832,20.4826799,500
41,Grocery Store,SPAR ул. Юрия Гагарина 13 [Калининград],54.716954,20.54097,500
42,Grocery Store,SPAR улица Гагарина 14 [Советск],55.0851987,21.89201,500
43,Grocery Store,SPAR улица Аксакова 125 [Калининград],54.7117043,20.57922,1000
